strat_name,opti,params_strat,sharpe
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 29, 'reg_method': 'ridge'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 9, 'sma_long': 17, 'reg_method': 'poly'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 2, 'sma_long': 18, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 4, 'sma_long': 28, 'reg_method': 'svr'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 21, 'reg_method': 'bayesian'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 20, 'reg_method': 'svr'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 1, 'sma_long': 12, 'reg_method': 'bayesian'}",0.04
indicator_strat_creator,strat_optimizer,"{'sma_short': 5, 'sma_long': 10, 'reg_method': 'poly'}",0.04
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 28, 'reg_method': 'bayesian'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 20, 'reg_method': 'lasso'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 14, 'reg_method': 'poly'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 18, 'reg_method': 'ridge'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 5, 'sma_long': 18, 'reg_method': 'no_regression'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 5, 'sma_long': 14, 'reg_method': 'lasso'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 10, 'sma_long': 15, 'reg_method': 'svr'}",0.01
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 14, 'reg_method': 'lasso'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 4, 'sma_long': 17, 'reg_method': 'ridge'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 12, 'reg_method': 'logistic'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 15, 'reg_method': 'no_regression'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 22, 'reg_method': 'poly'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 19, 'reg_method': 'poly'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 19, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 25, 'reg_method': 'lasso'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 25, 'reg_method': 'linear'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 9, 'sma_long': 10, 'reg_method': 'no_regression'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 22, 'reg_method': 'elastic_net'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 9, 'sma_long': 12, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 5, 'sma_long': 22, 'reg_method': 'ridge'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 9, 'sma_long': 16, 'reg_method': 'svr'}",0.01
indicator_strat_creator,strat_optimizer,"{'sma_short': 10, 'sma_long': 23, 'reg_method': 'logistic'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 18, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 5, 'sma_long': 20, 'reg_method': 'poly'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 17, 'reg_method': 'ridge'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 10, 'sma_long': 24, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 2, 'sma_long': 29, 'reg_method': 'elastic_net'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 11, 'reg_method': 'elastic_net'}",0.04
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 22, 'reg_method': 'logistic'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 10, 'sma_long': 29, 'reg_method': 'no_regression'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 9, 'sma_long': 21, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 14, 'reg_method': 'elastic_net'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 2, 'sma_long': 11, 'reg_method': 'no_regression'}",0.04
indicator_strat_creator,strat_optimizer,"{'sma_short': 3, 'sma_long': 18, 'reg_method': 'svr'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 8, 'sma_long': 26, 'reg_method': 'poly'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 26, 'reg_method': 'poly'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 20, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 27, 'reg_method': 'svr'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 7, 'sma_long': 30, 'reg_method': 'elastic_net'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 1, 'sma_long': 18, 'reg_method': 'svr'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 4, 'sma_long': 12, 'reg_method': 'logistic'}",0.03
indicator_strat_creator,strat_optimizer,"{'sma_short': 4, 'sma_long': 16, 'reg_method': 'linear'}",0.03
indicator_strat_creator,strat_optimizer,"{'window_size': 13, 'num_std_dev': 1.5210560420878538, 'reg_method': 'elastic_net'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 27, 'num_std_dev': 1.6313274419147261, 'reg_method': 'lasso'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 1.4117913970274274, 'reg_method': 'no_regression'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 1.7639172724579364, 'reg_method': 'logistic'}",-0.03
indicator_strat_creator,strat_optimizer,"{'window_size': 22, 'num_std_dev': 1.1445662005410204, 'reg_method': 'elastic_net'}",0.02
