,symbol,position,order,close
2024-05-10 02:00:00+02:00,ETH-USD,0.0,0.0,3035.841552734375
2024-05-10 02:01:00+02:00,ETH-USD,0.0,0.0,3036.653564453125
2024-05-10 02:02:00+02:00,ETH-USD,0.0,0.0,3032.419677734375
2024-05-10 02:03:00+02:00,ETH-USD,0.0,0.0,3031.543701171875
2024-05-10 02:04:00+02:00,ETH-USD,0.0,0.0,3030.322998046875
2024-05-10 02:05:00+02:00,ETH-USD,0.0,0.0,3030.954833984375
2024-05-10 02:06:00+02:00,ETH-USD,0.0,0.0,3030.193115234375
2024-05-10 02:07:00+02:00,ETH-USD,0.0,0.0,3031.063232421875
2024-05-10 02:08:00+02:00,ETH-USD,0.0,0.0,3031.3916015625
2024-05-10 02:10:00+02:00,ETH-USD,0.0,0.0,3031.05322265625
2024-05-10 02:11:00+02:00,ETH-USD,0.0,0.0,3032.439453125
2024-05-10 02:13:00+02:00,ETH-USD,0.0,0.0,3030.76953125
2024-05-10 02:14:00+02:00,ETH-USD,0.0,0.0,3029.98681640625
2024-05-10 02:15:00+02:00,ETH-USD,0.0,0.0,3029.901611328125
2024-05-10 02:16:00+02:00,ETH-USD,0.0,0.0,3029.130859375
2024-05-10 02:17:00+02:00,ETH-USD,0.0,0.0,3029.010986328125
2024-05-10 02:18:00+02:00,ETH-USD,0.0,0.0,3029.518310546875
2024-05-10 02:19:00+02:00,ETH-USD,0.0,0.0,3028.241943359375
2024-05-10 02:20:00+02:00,ETH-USD,0.0,0.0,3028.6142578125
2024-05-10 02:21:00+02:00,ETH-USD,0.0,0.0,3027.488525390625
2024-05-10 02:22:00+02:00,ETH-USD,0.0,0.0,3028.053466796875
2024-05-10 02:23:00+02:00,ETH-USD,0.0,0.0,3027.91796875
2024-05-10 02:24:00+02:00,ETH-USD,0.0,0.0,3027.304931640625
2024-05-10 02:25:00+02:00,ETH-USD,0.0,0.0,3026.664794921875
2024-05-10 02:26:00+02:00,ETH-USD,0.0,0.0,3026.173095703125
2024-05-10 02:27:00+02:00,ETH-USD,0.0,0.0,3024.832275390625
2024-05-10 02:28:00+02:00,ETH-USD,0.0,0.0,3026.658447265625
2024-05-10 02:29:00+02:00,ETH-USD,0.0,0.0,3026.28466796875
2024-05-10 02:30:00+02:00,ETH-USD,0.0,0.0,3026.966064453125
2024-05-10 02:31:00+02:00,ETH-USD,0.0,0.0,3026.5380859375
2024-05-10 02:32:00+02:00,ETH-USD,0.0,0.0,3026.17236328125
2024-05-10 02:33:00+02:00,ETH-USD,0.0,0.0,3026.248046875
2024-05-10 02:35:00+02:00,ETH-USD,0.0,0.0,3026.4912109375
2024-05-10 02:36:00+02:00,ETH-USD,0.0,0.0,3026.398193359375
2024-05-10 02:38:00+02:00,ETH-USD,0.0,0.0,3025.787109375
2024-05-10 02:39:00+02:00,ETH-USD,0.0,0.0,3025.4462890625
2024-05-10 02:40:00+02:00,ETH-USD,0.0,0.0,3024.886474609375
2024-05-10 02:41:00+02:00,ETH-USD,0.0,0.0,3025.36279296875
2024-05-10 02:42:00+02:00,ETH-USD,0.0,0.0,3024.58544921875
2024-05-10 02:43:00+02:00,ETH-USD,0.0,0.0,3024.386962890625
2024-05-10 02:44:00+02:00,ETH-USD,0.0,0.0,3024.43701171875
2024-05-10 02:45:00+02:00,ETH-USD,0.0,0.0,3025.85693359375
2024-05-10 02:46:00+02:00,ETH-USD,0.0,0.0,3025.7607421875
2024-05-10 02:47:00+02:00,ETH-USD,0.0,0.0,3026.094970703125
2024-05-10 02:48:00+02:00,ETH-USD,0.0,0.0,3024.6103515625
2024-05-10 02:49:00+02:00,ETH-USD,0.0,0.0,3024.453369140625
2024-05-10 02:50:00+02:00,ETH-USD,0.0,0.0,3024.17724609375
2024-05-10 02:51:00+02:00,ETH-USD,0.0,0.0,3024.084716796875
2024-05-10 02:52:00+02:00,ETH-USD,0.0,0.0,3023.714111328125
2024-05-10 02:53:00+02:00,ETH-USD,0.0,0.0,3024.012939453125
2024-05-10 02:54:00+02:00,ETH-USD,0.0,0.0,3024.541259765625
2024-05-10 02:55:00+02:00,ETH-USD,0.0,0.0,3024.416748046875
2024-05-10 02:56:00+02:00,ETH-USD,0.0,0.0,3024.0390625
2024-05-10 02:57:00+02:00,ETH-USD,0.0,0.0,3024.420654296875
2024-05-10 02:58:00+02:00,ETH-USD,0.0,0.0,3026.35546875
2024-05-10 03:00:00+02:00,ETH-USD,0.0,0.0,3025.435302734375
2024-05-10 03:01:00+02:00,ETH-USD,0.0,0.0,3026.957275390625
2024-05-10 03:03:00+02:00,ETH-USD,0.0,0.0,3028.806884765625
2024-05-10 03:04:00+02:00,ETH-USD,0.0,0.0,3028.2138671875
2024-05-10 03:05:00+02:00,ETH-USD,0.0,0.0,3028.13818359375
2024-05-10 03:06:00+02:00,ETH-USD,0.0,0.0,3028.494140625
2024-05-10 03:07:00+02:00,ETH-USD,0.0,0.0,3027.910888671875
2024-05-10 03:08:00+02:00,ETH-USD,0.0,0.0,3027.64306640625
2024-05-10 03:09:00+02:00,ETH-USD,0.0,0.0,3028.329345703125
2024-05-10 03:10:00+02:00,ETH-USD,0.0,0.0,3025.665771484375
2024-05-10 03:11:00+02:00,ETH-USD,0.0,0.0,3025.13037109375
2024-05-10 03:12:00+02:00,ETH-USD,0.0,0.0,3024.331298828125
2024-05-10 03:13:00+02:00,ETH-USD,0.0,0.0,3022.691162109375
2024-05-10 03:14:00+02:00,ETH-USD,0.0,0.0,3019.78076171875
2024-05-10 03:15:00+02:00,ETH-USD,0.0,0.0,3023.379638671875
